t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
2209,3.58259898180054,0.381740101819946,0.74,1634.66000000002,3.58259898180055,2.22044604925031e-15
2210,3.582325968757,0.3817674031243,0.74,1635.40000000002,3.58232596875703,2.08721928629529e-14
2211,3.58205238504962,0.381794761495038,0.74,1636.14000000002,3.58205238504963,1.06581410364015e-14
2212,3.58177822613129,0.381822177386871,0.74,1636.88000000002,3.58177822613126,-3.10862446895044e-14
2213,3.58150348741856,0.381849651258144,0.74,1637.62000000002,3.58150348741857,1.59872115546023e-14
2214,3.58122816429173,0.381877183570827,0.74,1638.36000000002,3.58122816429172,-1.28785870856518e-14
2215,3.58095225209402,0.381904774790598,0.74,1639.10000000002,3.58095225209402,-3.5527136788005e-15
2216,3.5806757461317,0.38193242538683,0.74,1639.84000000002,3.58067574613171,3.10862446895044e-15
2217,3.58039864167364,0.381960135832636,0.74,1640.58000000002,3.58039864167361,-3.10862446895044e-14
2218,3.58012093395087,0.381987906604913,0.74,1641.32000000002,3.58012093395085,-1.55431223447522e-14
2219,3.57984261815656,0.382015738184344,0.74,1642.06000000002,3.57984261815656,1.77635683940025e-15
2220,3.57956368944559,0.382043631055441,0.74,1642.80000000002,3.57956368944557,-1.82076576038526e-14
2221,3.57928414293411,0.382071585706589,0.74,1643.54000000002,3.5792841429341,-8.88178419700125e-15
2222,3.57900397369946,0.382099602630054,0.74,1644.28000000002,3.57900397369946,5.32907051820075e-15
2223,3.5787231767797,0.38212768232203,0.74,1645.02000000002,3.57872317677973,2.48689957516035e-14
2224,3.57844174717346,0.382155825282654,0.74,1645.76000000002,3.57844174717345,-7.99360577730113e-15
2225,3.5781596798393,0.38218403201607,0.74,1646.50000000002,3.57815967983932,1.50990331349021e-14
2226,3.57787696969586,0.382212303030414,0.74,1647.24000000002,3.57787696969586,-6.66133814775094e-15
2227,3.57759361162113,0.382240638837887,0.74,1647.98000000002,3.57759361162111,-2.04281036531029e-14
2228,3.57730960045228,0.382269039954772,0.74,1648.72000000002,3.57730960045228,-8.88178419700125e-16
2229,3.57702493098549,0.382297506901451,0.74,1649.46000000002,3.57702493098547,-1.77635683940025e-14
2230,3.57673959797529,0.382326040202471,0.74,1650.20000000002,3.57673959797529,2.66453525910038e-15
2231,3.5764535961346,0.38235464038654,0.74,1650.94000000002,3.57645359613457,-2.62012633811537e-14
2232,3.576166920134,0.3823833079866,0.74,1651.68000000002,3.576166920134,4.88498130835069e-15
2233,3.57587956460182,0.382412043539818,0.74,1652.42000000002,3.57587956460182,1.33226762955019e-15
2234,3.57559152412347,0.382440847587653,0.74,1653.16000000002,3.57559152412345,-1.77635683940025e-14
2235,3.57530279324115,0.382469720675885,0.74,1653.90000000002,3.57530279324117,2.48689957516035e-14
2236,3.57501336645379,0.382498663354621,0.74,1654.64000000002,3.57501336645379,5.32907051820075e-15
2237,3.57472323821628,0.382527676178372,0.74,1655.38000000002,3.57472323821627,-8.88178419700125e-15
2238,3.57443240293938,0.382556759706062,0.74,1656.12000000002,3.57443240293938,4.44089209850063e-15
2239,3.57414085498939,0.38258591450106,0.74,1656.86000000002,3.57414085498938,-1.55431223447522e-14
2240,3.57384858868764,0.382615141131236,0.74,1657.60000000002,3.57384858868761,-2.8421709430404e-14
2241,3.57355559831015,0.382644440168985,0.74,1658.34000000002,3.57355559831018,3.41948691584548e-14
2242,3.57326187808761,0.382673812191239,0.74,1659.08000000002,3.5732618780876,-7.99360577730113e-15
2243,3.57296742220436,0.382703257779564,0.74,1659.82000000002,3.57296742220438,2.30926389122033e-14
2244,3.57267222479871,0.382732777520129,0.74,1660.56000000002,3.57267222479872,7.54951656745106e-15
2245,3.57237627996207,0.382762372003793,0.74,1661.30000000002,3.57237627996209,1.55431223447522e-14
2246,3.5720795817389,0.38279204182611,0.74,1662.04000000002,3.57207958173889,-9.76996261670138e-15
2247,3.57178212412606,0.382821787587394,0.74,1662.78000000002,3.57178212412609,2.57571741713036e-14
2248,3.57148390107278,0.382851609892722,0.74,1663.52000000002,3.57148390107277,-8.88178419700125e-15
2249,3.57118490647986,0.382881509352014,0.74,1664.26000000002,3.57118490647986,-1.33226762955019e-15
2250,3.57088513419961,0.382911486580039,0.74,1665.00000000002,3.57088513419964,2.26485497023532e-14
2251,3.57058457803541,0.382941542196459,0.74,1665.74000000002,3.57058457803543,2.30926389122033e-14
2252,3.5702832317412,0.38297167682588,0.74,1666.48000000002,3.57028323174118,-1.95399252334028e-14
2253,3.5699810890211,0.38300189109789,0.74,1667.22000000002,3.56998108902106,-4.21884749357559e-14
2254,3.56967814352905,0.383032185647095,0.74,1667.96000000002,3.56967814352906,1.68753899743024e-14
2255,3.56937438886862,0.383062561113138,0.74,1668.70000000002,3.56937438886864,1.73194791841524e-14
2256,3.56906981859228,0.383093018140772,0.74,1669.44000000002,3.56906981859226,-1.82076576038526e-14
2257,3.56876442620103,0.383123557379897,0.74,1670.18000000002,3.56876442620103,4.44089209850063e-16
2258,3.56845820514422,0.383154179485578,0.74,1670.92000000002,3.56845820514425,2.39808173319034e-14
2259,3.56815114881906,0.383184885118094,0.74,1671.66000000002,3.56815114881904,-1.24344978758018e-14
2260,3.56784325056989,0.383215674943011,0.74,1672.40000000002,3.56784325056991,2.08721928629529e-14
2261,3.56753450368834,0.383246549631166,0.74,1673.14000000002,3.56753450368834,2.22044604925031e-15
2262,3.56722490141235,0.383277509858765,0.74,1673.88000000002,3.56722490141233,-1.19904086659517e-14
2263,3.56691443692603,0.383308556307397,0.74,1674.62000000002,3.56691443692604,1.33226762955019e-14
2264,3.56660310335928,0.383339689664072,0.74,1675.36000000002,3.56660310335929,3.5527136788005e-15
2265,3.56629089378717,0.383370910621283,0.74,1676.10000000002,3.56629089378717,-3.99680288865056e-15
2266,3.56597780122956,0.383402219877044,0.74,1676.84000000002,3.56597780122958,1.77635683940025e-14
2267,3.56566381865085,0.383433618134915,0.74,1677.58000000002,3.56566381865083,-1.55431223447522e-14
2268,3.56534893895915,0.383465106104085,0.74,1678.32000000002,3.56534893895914,-3.5527136788005e-15
2269,3.56503315500623,0.383496684499377,0.74,1679.06000000002,3.56503315500624,7.105427357601e-15
2270,3.56471645958689,0.383528354041311,0.74,1679.80000000002,3.56471645958689,-1.33226762955019e-15
2271,3.56439884543843,0.383560115456157,0.74,1680.54000000002,3.56439884543844,8.43769498715119e-15
2272,3.5640803052404,0.38359196947596,0.74,1681.28000000002,3.56408030524038,-1.4210854715202e-14
2273,3.56376083161385,0.383623916838615,0.74,1682.02000000002,3.56376083161386,1.4210854715202e-14
2274,3.56344041712123,0.383655958287877,0.74,1682.76000000002,3.56344041712124,1.50990331349021e-14
2275,3.56311905426563,0.383688094573437,0.74,1683.50000000002,3.56311905426562,-8.88178419700125e-15
2276,3.56279673549034,0.383720326450966,0.74,1684.24000000002,3.56279673549034,7.105427357601e-15
2277,3.56247345317857,0.383752654682143,0.74,1684.98000000002,3.56247345317857,1.33226762955019e-15
2278,3.56214919965277,0.383785080034723,0.74,1685.72000000002,3.56214919965275,-1.55431223447522e-14
2279,3.56182396717418,0.383817603282582,0.74,1686.46000000002,3.56182396717416,-1.50990331349021e-14
